Type,DataType,components,value
sensor,boolean,Powertrain,0
attribute,string,Powertrain,0
actuator,boolean,Powertrain,0
sensor,float,Powertrain,0
sensor,uint32,Powertrain,0
sensor,uint32,Powertrain,0
attribute,string,Powertrain,0
actuator,uint8,Powertrain,0
actuator,boolean,Powertrain,0
branch,,Body,0
attribute,string,Body,0
attribute,string,Body,0
branch,,Body,0
actuator,boolean,Body,0
actuator,uint8,Body,0
actuator,string,Body,0
branch,,Body,0
branch,,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,uint8,Body,0
actuator,string,Body,0
branch,,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,uint8,Body,0
actuator,string,Body,0
branch,,Body,0
actuator,boolean,Body,0
branch,,Body,0
sensor,uint8,Body,0
branch,,Body,0
branch,,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,uint8,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,uint8,Body,0
actuator,float,Body,0
actuator,float,Body,0
sensor,float,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,uint8,Body,0
sensor,boolean,Body,0
actuator,boolean,Body,0
branch,,Body,0
sensor,boolean,Body,0
sensor,uint8,Body,0
branch,,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,uint8,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,uint8,Body,0
actuator,float,Body,0
actuator,float,Body,0
sensor,float,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,boolean,Body,0
sensor,uint8,Body,0
sensor,boolean,Body,0
actuator,boolean,Body,0
branch,,Body,0
sensor,boolean,Body,0
sensor,uint8,Body,0
branch,,Body,0
actuator,string,Body,0
actuator,boolean,Body,0
branch,,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,string,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
actuator,boolean,Body,0
sensor,boolean,Body,0
branch,,Body,0
branch,,Body,0
actuator,int8,Body,0
actuator,int8,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
branch,,Body,0
actuator,int8,Body,0
actuator,int8,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,boolean,Body,0
actuator,float,Body,0
actuator,uint8,Body,0
actuator,boolean,Body,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
sensor,float,Cabin,0
actuator,uint8,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,string,Cabin,0
sensor,string,Cabin,0
sensor,string,Cabin,0
sensor,string,Cabin,0
sensor,string,Cabin,0
actuator,float,Cabin,0
sensor,string,Cabin,0
actuator,string,Cabin,0
actuator,uint8,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,double,Cabin,0
actuator,double,Cabin,0
actuator,string,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
sensor,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,float,Cabin,0
actuator,string,Cabin,0
actuator,boolean,Cabin,0
sensor,string,Cabin,0
actuator,uint16,Cabin,0
branch,,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
attribute,string,Cabin,0
branch,,Cabin,0
actuator,string,Cabin,0
actuator,string,Cabin,0
actuator,uint8,Cabin,0
actuator,boolean,Cabin,0
branch,,Cabin,0
sensor,int8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,uint8,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
sensor,uint8,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
actuator,string,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
sensor,boolean,Cabin,0
branch,,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
actuator,string,Cabin,0
actuator,boolean,Cabin,0
actuator,boolean,Cabin,0
actuator,uint8,Cabin,0
