Type,DataType,components,value
sensor,boolean,Chassis,0
branch,,Chassis,0
sensor,uint16,Chassis,0
sensor,boolean,Chassis,0
sensor,float,Chassis,0
sensor,float,Chassis,0
sensor,float,Chassis,0
branch,,Chassis,0
attribute,uint16,Chassis,0
attribute,uint16,Chassis,0
attribute,uint16,Chassis,0
attribute,uint8,Chassis,0
attribute,float,Chassis,0
attribute,float,Chassis,0
sensor,float,Chassis,0
attribute,float,Chassis,0
attribute,uint16,Chassis,0
attribute,uint8,Chassis,0
branch,,Chassis,0
branch,,Chassis,0
branch,,Chassis,0
sensor,uint8,Chassis,0
sensor,boolean,Chassis,0
sensor,uint8,Chassis,0
sensor,boolean,Chassis,0
branch,,Chassis,0
sensor,uint16,Chassis,0
sensor,boolean,Chassis,0
sensor,float,Chassis,0
sensor,float,Chassis,0
sensor,float,Chassis,0
branch,,Chassis,0
branch,,Chassis,0
sensor,uint8,Chassis,0
sensor,boolean,Chassis,0
sensor,uint8,Chassis,0
sensor,boolean,Chassis,0
branch,,Chassis,0
sensor,uint16,Chassis,0
sensor,boolean,Chassis,0
sensor,float,Chassis,0
sensor,float,Chassis,0
sensor,float,Chassis,0
attribute,uint8,Chassis,0
branch,,Chassis,0
actuator,boolean,Chassis,0
actuator,boolean,Chassis,0
branch,,Chassis,0
sensor,int16,Chassis,0
actuator,uint8,Chassis,0
actuator,uint8,Chassis,0
actuator,int8,Chassis,0
branch,,Chassis,0
sensor,uint8,Chassis,0
branch,,Chassis,0
sensor,uint8,Chassis,0
sensor,boolean,Chassis,0
branch,,OBD,0
attribute,string,OBD,0
attribute,string,OBD,0
attribute,string,OBD,0
branch,,OBD,0
sensor,boolean,OBD,0
sensor,uint8,OBD,0
attribute,string,OBD,0
sensor,string,OBD,0
sensor,string,OBD,0
sensor,string,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,string,OBD,0
sensor,uint8,OBD,0
branch,,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
attribute,uint8,OBD,0
sensor,uint8,OBD,0
sensor,boolean,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,uint8,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,OBD,0
sensor,boolean,OBD,0
sensor,uint8,OBD,0
sensor,string,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
attribute,uint8,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
sensor,float,OBD,0
branch,,Driver,0
branch,,Driver,0
sensor,string,Driver,0
sensor,string,Driver,0
sensor,float,Driver,0
sensor,boolean,Driver,0
sensor,boolean,Driver,0
sensor,float,Driver,0
sensor,float,Driver,0
sensor,uint16,Driver,0
branch,,Occupant,0
branch,,Occupant,0
branch,,Occupant,0
branch,,Occupant,0
sensor,string,Occupant,0
sensor,string,Occupant,0
branch,,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
branch,,Occupant,0
sensor,string,Occupant,0
sensor,string,Occupant,0
branch,,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
branch,,Occupant,0
sensor,string,Occupant,0
sensor,string,Occupant,0
branch,,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
branch,,Occupant,0
branch,,Occupant,0
sensor,string,Occupant,0
sensor,string,Occupant,0
branch,,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
branch,,Occupant,0
sensor,string,Occupant,0
sensor,string,Occupant,0
branch,,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
branch,,Occupant,0
sensor,string,Occupant,0
sensor,string,Occupant,0
branch,,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,int16,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Occupant,0
sensor,float,Occupant,0
sensor,float,Occupant,0
branch,,Exterior,0
sensor,float,Exterior,0
sensor,float,Exterior,0
sensor,float,Exterior,0
branch,,Service,0
sensor,boolean,Service,0
sensor,float,Service,0
sensor,int32,Service,0
branch,,Connectivity,0
sensor,boolean,Connectivity,0
branch,,VersionVSS,0
attribute,uint32,VersionVSS,0
attribute,uint32,VersionVSS,0
attribute,uint32,VersionVSS,0
attribute,string,VersionVSS,0
branch,,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,uint16,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,uint16,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
attribute,string,VehicleIdentification,0
sensor,string,LowVoltageSystemState,0
branch,,LowVoltageBattery,0
attribute,uint16,LowVoltageBattery,0
attribute,uint16,LowVoltageBattery,0
sensor,float,LowVoltageBattery,0
sensor,float,LowVoltageBattery,0
sensor,float,Speed,0
sensor,float,TraveledDistance,0
sensor,float,TraveledDistanceSinceStart,0
attribute,string,StaticJourneyAttribute,0
sensor,float,TripDuration,0
actuator,float,TripMeterReading,0
sensor,boolean,IsBrokenDown,0
sensor,boolean,IsMoving,0
sensor,float,AverageSpeed,0
branch,,Acceleration,0
sensor,float,Acceleration,0
sensor,float,Acceleration,0
sensor,float,Acceleration,0
branch,,AngularVelocity,0
sensor,float,AngularVelocity,0
sensor,float,AngularVelocity,0
sensor,float,AngularVelocity,0
attribute,int16,StaticJourneyAttribute,0
attribute,float,StaticJourneyAttribute,0
attribute,int16,StaticJourneyAttribute,0
sensor,uint16,CurrentOverallWeight,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
attribute,uint16,StaticJourneyAttribute,0
branch,,Trailer,0
sensor,boolean,Trailer,0
branch,,CurrentLocation,0
sensor,string,CurrentLocation,0
sensor,double,CurrentLocation,0
sensor,double,CurrentLocation,0
sensor,double,CurrentLocation,0
sensor,double,CurrentLocation,0
sensor,double,CurrentLocation,0
sensor,double,CurrentLocation,0
branch,,CurrentLocation,0
sensor,string,CurrentLocation,0
branch,,CurrentLocation,0
attribute,int16,CurrentLocation,0
attribute,int16,CurrentLocation,0
attribute,int16,CurrentLocation,0
actuator,uint8,PowerOptimizeLevel,0
actuator,boolean,IsAutoPowerOptimize,0
branch,,Diagnostics,0
sensor,uint8,Diagnostics,0
sensor,string,Diagnostics,0
