fqn,type,description,comment,deprecated,instances
Vehicle.Cabin.Light,branch,Light that is part of the Cabin.,"V4.0 branch renamed from ""Lights"" to ""Light"" to comply with singular naming of entities. Use SingleConfigurableLight.vspec to describe interior lights that can be configured.",,[]
Vehicle.Cabin.Light.Spotlight,branch,Spotlight for a specific area in the vehicle.,,,"['Row[1,4]', ['DriverSide', 'PassengerSide']]"
Vehicle.Cabin.Light.AmbientLight,branch,"Decorative coloured light inside the cabin, usually mounted on the door, ceiling, etc.",,,"['Row[1,2]', ['DriverSide', 'PassengerSide']]"
Vehicle.Cabin.Light.InteractiveLightBar,branch,"Decorative coloured light bar that supports effects, usually mounted on the dashboard (e.g. BMW i7 Interactive bar).",,,[]
Vehicle.Cabin.Door,branch,"All doors, including windows and switches.",,,"['Row[1,2]', ['DriverSide', 'PassengerSide']]"
Vehicle.Cabin.Door.Window,branch,Door window status. Start position for Window is Closed.,,,[]
Vehicle.Cabin.Door.Shade,branch,"Side window shade. Open = Retracted, Closed = Deployed. Start position for Shade is Open/Retracted.",,,[]
Vehicle.Cabin.Seat,branch,All seats.,,,"['Row[1,2]', ['DriverSide', 'Middle', 'PassengerSide']]"
Vehicle.Cabin.Seat.Occupant,branch,Occupant data.,,,[]
Vehicle.Cabin.Seat.Occupant.Identifier,branch,Identifier attributes based on OAuth 2.0.,,,[]
Vehicle.Cabin.Seat.Backrest,branch,Describes signals related to the backrest of the seat.,,,[]
Vehicle.Cabin.Seat.Backrest.Lumbar,branch,Adjustable lumbar support mechanisms in seats allow the user to change the seat back shape.,,,[]
Vehicle.Cabin.Seat.Backrest.SideBolster,branch,Backrest side bolster (lumbar side support) settings.,,,[]
Vehicle.Cabin.Seat.Seating,branch,Describes signals related to the seat bottom of the seat.,Seating is here considered as the part of the seat that supports the thighs. Additional cushions (if any) for support of lower legs is not covered by this branch.,,[]
Vehicle.Cabin.Seat.Headrest,branch,Headrest settings.,,,[]
Vehicle.Cabin.Seat.Airbag,branch,Airbag signals.,,,[]
Vehicle.Cabin.Seat.Switch,branch,Seat switch signals,,,[]
Vehicle.Cabin.Seat.Switch.Backrest,branch,Describes switches related to the backrest of the seat.,,,[]
Vehicle.Cabin.Seat.Switch.Backrest.Lumbar,branch,Switches for SingleSeat.Backrest.Lumbar.,,,[]
Vehicle.Cabin.Seat.Switch.Backrest.SideBolster,branch,Switches for SingleSeat.Backrest.SideBolster.,,,[]
Vehicle.Cabin.Seat.Switch.Seating,branch,Describes switches related to the seating of the seat.,,,[]
Vehicle.Cabin.Seat.Switch.Headrest,branch,Switches for SingleSeat.Headrest.,,,[]
Vehicle.Cabin.Seat.Switch.Massage,branch,Switches for SingleSeat.Massage.,,,[]
Vehicle.Cabin.Convertible,branch,Convertible roof.,,,[]
Vehicle.ADAS,branch,All Advanced Driver Assist Systems data.,,,[]
Vehicle.ADAS.CruiseControl,branch,Signals from Cruise Control system.,,,[]
Vehicle.ADAS.LaneDepartureDetection,branch,Signals from Lane Departure Detection System.,,,[]
Vehicle.ADAS.ObstacleDetection,branch,Signals form Obstacle Sensor System.,,,[]
Vehicle.ADAS.ABS,branch,Antilock Braking System signals.,,,[]
Vehicle.ADAS.TCS,branch,Traction Control System signals.,,,[]
Vehicle.ADAS.ESC,branch,Electronic Stability Control System signals.,,,[]
Vehicle.ADAS.ESC.RoadFriction,branch,Road friction values reported by the ESC system.,,,[]
Vehicle.ADAS.EBD,branch,Electronic Brakeforce Distribution (EBD) System signals.,,,[]
Vehicle.ADAS.EBA,branch,Emergency Brake Assist (EBA) System signals.,,,[]
Vehicle.ADAS.DMS,branch,Driver Monitoring System signals.,,,[]
Vehicle.Chassis,branch,"All data concerning steering, suspension, wheels, and brakes.",,,[]
Vehicle.Chassis.Axle,branch,Axle signals,,,"['Row[1,2]']"
Vehicle.Chassis.Axle.Wheel,branch,Wheel signals for axle,,,"['Left', 'Right']"
Vehicle.Chassis.Axle.Wheel.Brake,branch,Brake signals for wheel,,,[]
Vehicle.Chassis.Axle.Wheel.Tire,branch,Tire signals for wheel.,,,[]
Vehicle.Chassis.ParkingBrake,branch,Parking brake signals,,,[]
Vehicle.Chassis.SteeringWheel,branch,Steering wheel signals,,,[]
Vehicle.Chassis.Accelerator,branch,Accelerator signals,,,[]
Vehicle.Chassis.Brake,branch,Brake system signals,,,[]
Vehicle.OBD,branch,OBD data.,,,[]
Vehicle.OBD.Status,branch,PID 01 - OBD status,,,[]
Vehicle.OBD.O2,branch,Oxygen sensors (PID 14 - PID 1B),,,"['Sensor[1,8]']"
Vehicle.OBD.O2WR,branch,Wide range/band oxygen sensors (PID 24 - 2B and PID 34 - 3B),,,"['Sensor[1,8]']"
Vehicle.OBD.Catalyst,branch,Catalyst signals,,,[]
Vehicle.OBD.Catalyst.Bank1,branch,Catalyst bank 1 signals,,,[]
Vehicle.OBD.Catalyst.Bank2,branch,Catalyst bank 2 signals,,,[]
Vehicle.OBD.DriveCycleStatus,branch,PID 41 - OBD status for the current drive cycle,,,[]
Vehicle.Driver,branch,Driver data.,,,[]
Vehicle.Driver.Identifier,branch,Identifier attributes based on OAuth 2.0.,,,[]
Vehicle.Occupant,branch,Occupant (Driver or Passenger) data.,,,"['Row[1,2]', ['DriverSide', 'Middle', 'PassengerSide']]"
Vehicle.Occupant.Identifier,branch,Identifier attributes based on OAuth 2.0.,,,[]
Vehicle.Occupant.HeadPosition,branch,The current position of the driver head on vehicle axis according to ISO 23150:2023.,,,[]
Vehicle.Occupant.MidEyeGaze,branch,Direction from mid eye position to object driver is looking at.,,,[]
Vehicle.Exterior,branch,Information about exterior measured by vehicle.,,,[]
Vehicle.Service,branch,Service data.,,,[]
Vehicle.Connectivity,branch,Connectivity data.,,,[]
Vehicle.VersionVSS,branch,Supported Version of VSS.,,,[]
Vehicle.VehicleIdentification,branch,Attributes that identify a vehicle.,,,[]
Vehicle.LowVoltageBattery,branch,Signals related to low voltage battery.,,,[]
Vehicle.Acceleration,branch,Spatial acceleration. Axis definitions according to ISO 8855.,,,[]
Vehicle.AngularVelocity,branch,Spatial rotation. Axis definitions according to ISO 8855.,,,[]
Vehicle.Trailer,branch,Trailer signals.,,,[]
Vehicle.CurrentLocation,branch,The current latitude and longitude of the vehicle.,,,[]
Vehicle.CurrentLocation.GNSSReceiver,branch,Information on the GNSS receiver used for determining current location.,,,[]
Vehicle.CurrentLocation.GNSSReceiver.MountingPosition,branch,Mounting position of GNSS receiver antenna relative to vehicle coordinate system. Axis definitions according to ISO 8855. Origin at center of (first) rear axle.,,,[]
Vehicle.Diagnostics,branch,Diagnostics data.,,,[]
